"ID","Site","TRQ","Geno","GLS","SLA","Obs","Stg","FLN","FRN","INH","PL1","PL2","Nec","TCO","LFN","DLN","AvgPCD","herbType","y","x","L.R","date"
"p301","SO","2",1,146,NA,"CR","FS",1,5,"57",5,10,0,NA,"31",0,0,"","2535","32.5","R","6/21/24"
"p302","SO","2",1,NA,NA,"CR","SO",NA,4,"43",NA,NA,NA,NA,"36",4,5,"chewing","2530","79","R","6/21/24"
"p303","SO","2",1,147,NA,"MS","FS",6,4,"51",NA,NA,NA,NA,"21",0,0,"","2535","12","L","6/21/24"
"p304","SO","2",1,148,NA,"MS","FS",13,2,"7",NA,NA,NA,NA,"38",0,0,"","2535","38","L","6/21/24"
"p305","SO","2",NA,NA,NA,"MS","FO",3,NA,"5",NA,NA,NA,NA,"16",6,10,"chewing","2545","8","L","6/21/24"
"p306","SO","2",NA,NA,NA,"MS","FO",4,NA,"4",NA,NA,NA,NA,"13",1,40,"chewing","2549","23","L","6/21/24"
"p307","SO","2",1,151,NA,"MS","FS",11,10,"165",3,9,0,NA,"34",7,50,"chewing; window","2548","42","L","6/21/24"
"p308","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"9",1,5,"window","2559","62","R","6/21/24"
"p309","SO","2",1,149,NA,"CR","FS",1,7,"69",3,7.5,0,NA,"28",2,5,"window","2557","125.5","R","6/21/24"
"p310","SO","2",1,150,NA,"CR","FS",4,3,"27",3,7,0,NA,"27",0,0,"","2564","126.5","R","6/21/24"
"p311","SO","2",1,NA,1,"CR","B",NA,NA,"",NA,NA,NA,NA,"35",4,20,"window","2545","14","R","6/21/24"
"p312","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",0,0,"","2550","4","R","6/21/24"
"p313","SO","2",NA,NA,NA,"CR","SO",NA,2,"27",NA,NA,NA,NA,"18",1,5,"window","2583","90","R","6/21/24"
"p314","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","2633.6","17","R","6/21/24"
"p315","SO","2",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","2561.8","1.5","R","6/21/24"
"p316","SO","2",1,152,1,"MS","FO",15,NA,"12",4,8,0,1,"110",8,40,"chewing","2567","1.5","R","6/21/24"
"p317","SO","2",NA,NA,NA,"MS","FO",7,NA,"9",1,5,0,NA,"16",3,10,"window","2570","26","L","6/21/24"
"p318","SO","2",NA,NA,NA,"MS","FS",2,2,"21",4,8,0,NA,"31",5,5,"chewing","2582","11","L","6/21/24"
"p319","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"10",1,5,"window","2559","63","R","6/21/24"
"p320","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"8",3,5,"chewing; window","2646","10","R","6/21/24"
"p321","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"","2659","52","R","6/21/24"
"p322","SO","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"8",1,5,"window","2693","2.5","R","6/21/24"
"p323","SO","2",NA,NA,NA,"CR","X",NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","2696","26","R","6/21/24"
"p324","SO","2",1,NA,NA,"MS","FS",5,7,"81",NA,NA,0,NA,"19",0,0,"","2601","67.5","L","6/21/24"
"p325","SO","2",1,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"18",0,0,"","2626","36.5","L","6/21/24"
"p326","TWM","1",1,153,NA,"MS","FS",8,12,"140",NA,NA,0,0,"27",0,0,"","264","249","R","6/22/24"
"p327","TWM","1",NA,NA,NA,"KM","FO",3,NA,"9",4,9,0,0,"17",0,0,"","328.4","6.6","R","6/22/24"
"p328","TWM","1",1,NA,NA,"MS","FS",4,3,"62",3,3,0,0,"15",0,0,"","377","249","R","6/22/24"
"p329","TWM","1",1,154,NA,"MS","FS",5,4,"85",4,7,0,0,"14",0,0,"","408.8","236","R","6/22/24"
"p330","TWM","1",1,NA,NA,"MS","FS",3,2,"33",2,6,0,0,"12",0,0,"","409","236","R","6/22/24"
"p331","TWM","1",1,NA,NA,"MS","FS",6,7,"65",NA,NA,0,0,"33",4,15,"chewing","444","229","R","6/22/24"
"p332","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"19",6,15,"chewing; window","463","213.5","R","6/22/24"
"p333","TWM","1",1,155,1,"CR","SO",NA,5,"93",NA,NA,NA,NA,"24",0,0,"","376","207.5","R","6/22/24"
"p334","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"5",0,0,"","466","59.5","R","6/22/24"
"p335","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"6",0,0,"","475","63","R","6/22/24"
"p336","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",0,0,"","485","53","R","6/22/24"
"p337","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",0,0,"","501","38","R","6/22/24"
"p338","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",0,0,"","502","40","R","6/22/24"
"p339","TWM","1",1,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"21",0,0,"","565","83","R","6/22/24"
"p340","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",3,15,"chewing; window","584","93","R","6/22/24"
"p341","TWM","1",1,156,NA,"CR","SO",NA,6,"27",NA,NA,0,0,"25",1,15,"window","580","100","R","6/22/24"
"p342","TWM","1",1,NA,NA,"CR","SO",NA,3,"46",NA,NA,0,0,"11",0,0,"","578","89","R","6/22/24"
"p343","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","513","66.5","L","6/22/24"
"p344","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"23",0,0,"","577","26.5","L","6/22/24"
"p345","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","590","30","L","6/22/24"
"p346","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","623","51.5","L","6/22/24"
"p347","TWM","1",1,157,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",4,25,"chewing; window","599","75","R","6/22/24"
"p348","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","576","57.5","L","6/22/24"
"p349","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","735.8","34","R","6/22/24"
"p350","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","734","58.5","R","6/22/24"
"p351","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",1,10,"mining","762","15","R","6/22/24"
"p352","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","760.5","55","R","6/22/24"
"p353","TWM","1",1,158,NA,"CR","SO",NA,5,"64",NA,NA,0,0,"22",3,5,"chewing","806.5","28.1","R","6/22/24"
"p354","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","709","16","L","6/22/24"
"p355","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","713","35","L","6/22/24"
"p356","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","707","94","L","6/22/24"
"p357","TWM","1",1,159,NA,"MS","FS",3,3,"14",5,10,0,0,"17",0,0,"","815","74","L","6/22/24"
"p358","TWM","1",1,NA,1,"MS","FS",3,3,"14",4,9,0,0,"17",0,0,"","860","33","L","6/22/24"
"p359","TWM","1",1,161,1,"MS","FO",3,NA,"",2,7,0,NA,"20",0,0,"","880","110","L","6/22/24"
"p360","TWM","1",NA,160,NA,"CR","SO",NA,4,"39",NA,NA,0,NA,"16",0,5,"window","846.6","6.5","R","6/22/24"
"p361","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"16",1,10,"chewing","844.2","20.4","R","6/22/24"
"p362","TWM","1",1,NA,1,"CR","R",NA,NA,"",NA,NA,NA,NA,"21",3,5,"window","846.4","23","R","6/22/24"
"p363","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",2,5,"chewing","842","37.5","R","6/22/24"
"p364","TWM","1",1,NA,NA,"CR","SO",NA,3,"38",NA,NA,0,0,"14",0,0,"","844","37","R","6/22/24"
"p365","TWM","1",1,162,NA,"CR","SO",NA,3,"15",NA,NA,0,0,"25",0,0,"","873","3.8","R","6/22/24"
"p366","TWM","1",1,NA,NA,"CR","SO",NA,4,"23",NA,NA,0,0,"21",0,0,"","888","7","R","6/22/24"
"p367","TWM","1",1,163,NA,"CR/MS","FS",3,3,NA,NA,NA,0,0,"16",0,0,"","901.4","4","R","6/22/24"
"p368","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","934","4.5","R","6/23/24"
"p369","TWM","1",1,NA,NA,"MS","FS",4,1,"13",3,7,0,0,"12",0,0,"","919","9","L","6/23/24"
"p370","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",1,5,"window","941.5","20.5","R","6/23/24"
"p371","TWM","1",NA,NA,NA,"CR","B",NA,NA,"",NA,NA,NA,NA,"14",0,0,"","1049","15","R","6/23/24"
"p372","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","1002","15","L","6/23/24"
"p373","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"21",4,5,"chewing; window","1025","120","L","6/23/24"
"p374","TWM","1",1,NA,1,"MS","FS",4,3,"50",4,8,0,NA,"16",0,0,"","1035","129.5","L","6/23/24"
"p375","TWM","1",NA,NA,NA,"CR","FS",2,2,"7",NA,NA,NA,NA,"9",1,10,"chewing","1082","25.5","L","6/23/24"
"p376","TWM","1",1,NA,NA,"CR","B",NA,NA,"",NA,NA,NA,NA,"24",0,0,"","1100","85","L","6/23/24"
"p377","TWM","1",NA,NA,NA,"CR","FS",3,2,"19",NA,NA,NA,NA,"9",0,0,"","1101","86","L","6/23/24"
"p378","TWM","1",1,164,NA,"CR","SO",NA,5,"76",NA,NA,0,NA,"18",0,0,"","1129","106.5","L","6/23/24"
"p379","TWM","1",NA,NA,NA,"CR","FS",3,1,"15",4.5,8,NA,NA,"12",0,0,"","1154","93","L","6/23/24"
"p380","TWM","1",1,NA,1,"MS","FS",5,10,"30",4,9,0,NA,"20",0,0,"","1145","55","L","6/23/24"
"p381","TWM","1",1,166,1,"MS","FS",8,6,"41",5,8,0,NA,"39",0,0,"","1160","50","L","6/23/24"
"p382","TWM","1",1,168,NA,"MS","FS",7,5,"185",NA,NA,NA,NA,"18",0,0,"","1172","33","L","6/23/24"
"p383","TWM","1",1,169,NA,"MS","FS",3,5,"65",NA,NA,0,NA,"19",0,0,"","1175","39.5","L","6/23/24"
"p384","TWM","1",1,165,1,"CR","FS",4,5,"100",4,8,0,NA,"22",3,5,"chewing","1169","90.5","L","6/23/24"
"p385","TWM","1",1,167,NA,"CR","FS",15,4,"40",5,9,0,1,"44",4,20,"window","1177","77","L","6/23/24"
"p386","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","1174","91","L","6/23/24"
"p387","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","1197","68","L","6/23/24"
"p388","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"10",1,15,"window","1208","59","L","6/23/24"
"p389","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"8",1,5,"window","1204","71","L","6/23/24"
"p390","TWM","1",1,NA,1,"CR","R",NA,NA,"",NA,NA,NA,NA,"14",3,30,"chewing","1209","87","L","6/23/24"
"p391","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"6",0,0,"","1212","85.5","L","6/23/24"
"p392","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","1309","78","L","6/23/24"
"p393","TWM","1",1,170,0,"MS","FS",3,5,"55",NA,NA,NA,NA,"15",0,0,"","1344","38.5","L","6/23/24"
"p394","TWM","1",NA,NA,NA,"MS","FS",5,4,"59",NA,NA,NA,NA,"14",0,0,"","1347","39.5","L","6/23/24"
"p395","TWM","1",1,NA,NA,"MS","FS",5,5,"93",NA,NA,NA,NA,"14",0,0,"","1347","43","L","6/23/24"
"p396","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"8",1,10,"window","1355","31","L","6/23/24"
"p397","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","1417","75","L","6/23/24"
"p398","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"","1428","19","L","6/23/24"
"p399","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",1,5,"window","1439.6","9.5","L","6/23/24"
"p400","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","1488","26","L","6/23/24"
"p401","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",0,0,"","1487","58","L","6/23/24"
"p402","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","1500","2.5","L","6/23/24"
"p403","TWM","1",1,NA,NA,"CR","FS",3,5,"60",NA,NA,0,0,"20",3,10,"mining; window","1501","24","L","6/23/24"
"p404","TWM","1",1,171,NA,"MS","FO",5,0,"14",5,9,0,0,"17",1,95,"chewing","1347","31","L","6/23/24"
"p405","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"11",2,5,"chewing","2223","35","R","6/23/24"
"p406","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","2227","3","R","6/23/24"
"p407","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","2232","2.5","L","6/23/24"
"p408","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","2237","59","R","6/23/24"
"p409","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","2480","1","R","6/23/24"
"p410","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"9",1,10,"chewing","2486","0.5","L","6/23/24"
"p411","TWM","1",1,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"13",0,0,"","2486.4","2","L","6/23/24"
"p412","TWM","1",1,NA,NA,"CR","FS",3,2,"7",NA,NA,0,NA,"15",8,40,"window","2487","12","R","6/23/24"
"p413","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","2450","25","L","6/23/24"
"p414","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"14",0,0,"","2511","46","L","6/23/24"
"p415","TWM","1",NA,NA,NA,"MS","R",NA,NA,"",NA,NA,NA,NA,"23",0,0,"","2529","13","L","6/23/24"
"p416","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"7",0,0,"","2549","23","L","6/23/24"
"p417","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"17",0,0,"","2552","38","L","6/23/24"
"p418","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"13",2,5,"chewing","2566","11.5","L","6/23/24"
"p419","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","2598","13.8","L","6/23/24"
"p420","TWM","1",1,NA,NA,"CR","FS",7,6,"32",NA,NA,0,0,"21",3,5,"window","2576","66.5","R","6/23/24"
"p421","TWM","1",NA,NA,NA,"CR","FS",2,2,"11",NA,NA,NA,NA,"13",0,0,"","2601","48","R","6/23/24"
"p422","TWM","1",1,172,NA,"CR","FS",4,5,"38",NA,NA,NA,NA,"18",1,5,"window","2613","65","R","6/23/24"
"p423","TWM","1",1,NA,NA,"KM","FS",4,4,"32",NA,NA,NA,NA,"17",2,5,"chewing","2568","96.4","L","6/23/24"
"p424","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","2621","14.6","L","6/23/24"
"p425","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","2635","30.6","L","6/23/24"
"p426","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","2710","13.1","L","6/23/24"
"p427","TWM","1",NA,NA,NA,"KM","FS",1,5,"42",2,6,NA,NA,"18",1,90,"chewing","2731","4.8","L","6/23/24"
"p428","TWM","1",NA,NA,NA,"KM","FO",2,0,"10",2,6,NA,NA,"11",0,0,"","2787.5","4","L","6/23/24"
"p429","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"13",0,0,"","2844.2","39.8","L","6/23/24"
"p430","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",1,5,"window","2613","37","R","6/23/24"
"p431","TWM","1",1,0,0,"CR","FS",6,8,"28",NA,NA,NA,NA,"27",1,10,"window","2627","58","R","6/23/24"
"p432","TWM","1",1,0,0,"CR","FS",4,5,"33",NA,NA,NA,NA,"21",1,5,"chewing","2625","53","R","6/23/24"
"p433","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"","2639","12","R","6/23/24"
"p434","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","2724.5","1","R","6/23/24"
"p435","TWM","1",1,173,1,"CR","FS",7,11,"76",NA,NA,NA,NA,"86",1,10,"chewing","2771","156","R","6/23/24"
"p436","TWM","1",NA,NA,NA,"CR","FS",5,5,"21",NA,NA,NA,NA,"26",0,0,"","2802","142.5","R","6/23/24"
"p437","TWM","1",0,0,0,"CR","FS",1,2,"13",NA,NA,NA,NA,"18",1,10,"window","2824","128","R","6/23/24"
"p438","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"17",2,15,"chewing","2863.8","67.5","L","6/23/24"
"p439","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"11",0,0,"","2894","53.7","L","6/23/24"
"p440","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","2905.4","22.5","L","6/23/24"
"p441","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","2925.6","48","L","6/23/24"
"p442","TWM","1",1,0,0,"CR","SO",4,6,"67",NA,NA,NA,NA,"15",0,0,"","2845","110","R","6/23/24"
"p443","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"9",1,10,"window","2836","8.7","R","6/23/24"
"p444","TWM","1",0,0,0,"CR","FS",2,2,"15",NA,NA,NA,NA,"MISSING",NA,NA,"","2836.4","45.5","R","6/23/24"
"p445","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"13",2,5,"chewing","2946","4.3","L","6/23/24"
"p446","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","2949","8.6","L","6/23/24"
"p447","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","2989","23.5","L","6/23/24"
"p448","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","2931","48","L","6/23/24"
"p449","TWM","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"7",0,0,"","2903","42","R","6/23/24"
"p450","TWM","1",NA,NA,NA,"CR","FS",3,3,"59",NA,NA,NA,NA,"14",0,0,"","2917","7.5","R","6/23/24"
"p451","TWM","1",1,174,0,"CR","FS",7,5,"74",NA,NA,NA,NA,"32",3,10,"chewing","2982","160","R","6/23/24"
"p452","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","2954","9.2","R","6/23/24"
"p453","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","2909","21.6","L","6/23/24"
"p454","TWM","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","2903","53.5","L","6/23/24"
"p455","TWM","2",1,0,0,"KM","FS",24,16,"216",2,5,NA,1,"32",1,20,"","2363.5","1.5","R","6/23/24"
"p456","TWM","2",1,0,0,"KM","R",NA,NA,"",NA,NA,NA,NA,"18",0,0,"","2141","14","L","6/23/24"
"p457","TWM","2",NA,NA,NA,"KM","SO",6,6,"54",NA,NA,NA,NA,"10",0,0,"","2121.4","60","L","6/23/24"
"p458","TWM","2",NA,NA,NA,"CR","SO",0,8,"78",NA,NA,NA,NA,"20",0,0,"","2112","26.5","R","6/23/24"
"p459","TWM","2",1,NA,NA,"CR","FS",7,26,"372",2,4,NA,NA,"25",0,0,"","2085","23","R","6/23/24"
"p460","TWM","2",1,NA,NA,"CR","SO",0,41,"480",NA,NA,NA,NA,"52",0,0,"stem scraping (photo)","2010","48","R","6/23/24"
"p461","TWM","2",1,0,0,"KM","FS",2,15,"154",NA,NA,NA,1,"28",6,25,"chewing","2090","42.5","L","6/23/24"
"p462","TWM","2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","2042","38.5","L","6/23/24"
"p463","TWM","2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","2043","40","L","6/23/24"
"p464","TWM","2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"27",0,0,"","1987","33","L","6/23/24"
"p465","TWM","2",1,0,0,"CR","SO",0,21,"279",NA,NA,NA,NA,"26",5,10,"chewing","1852","62.5","R","6/23/24"
"p466","TWM","2",0,0,0,"KM","FS",2,4,"24",NA,NA,NA,NA,"12",0,0,"","1550","105.5","L","6/23/24"
"p467","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",3,15,"chewing","1559","51","R","6/23/24"
"p468","TWM","2",1,0,0,"KM","FS",7,8,"97",NA,NA,NA,NA,"24",1,5,"window","1485","72","R","6/23/24"
"p469","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"8",0,0,"","1400","38","R","6/23/24"
"p470","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","1385","132.5","R","6/23/24"
"p471","TWM","2",1,0,0,"CR","B",NA,NA,"",NA,NA,NA,1,"27",3,5,"window","1324","45","R","6/23/24"
"p472","TWM","2",1,0,0,"CR","B",NA,NA,"",NA,NA,NA,1,"27",13,40,"chewing","1305","85","R","6/23/24"
"p473","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,1,"25",11,20,"window","1306","16","R","6/23/24"
"p474","TWM","2",1,0,1,"KM","FS",4,10,"58",2,5,NA,NA,"42",3,5,"chewing","1399","119.5","L","6/23/24"
"p475","TWM","2",1,0,0,"KM","FS",2,3,"14",NA,NA,NA,NA,"16",0,0,"","1392","109.5","L","6/23/24"
"p476","TWM","2",1,NA,NA,"KM","FS",4,11,"106",NA,NA,NA,NA,"18",0,0,"","1362","26.8","L","6/23/24"
"p477","TWM","2",1,0,1,"CR","R",NA,NA,"",NA,NA,NA,NA,"16",0,0,"","1150","42.5","R","6/23/24"
"p478","TWM","2",1,0,1,"CR","FS",5,60,"341",1,4,NA,NA,"100",2,5,"chewing","963","23","R","6/23/24"
"p479","TWM","2",1,0,0,"CR","SO",0,45,"438",NA,NA,NA,NA,"65",1,20,"chewing","960","19","R","6/23/24"
"p480","TWM","2",NA,NA,NA,"CR","SO",0,23,"2/5",NA,NA,NA,NA,"32",5,10,"chewing; window","952","4","R","6/23/24"
"p481","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"30",0,0,"","966","18","R","6/23/24"
"p482","TWM","2",1,0,0,"KM","FS",9,14,"106",NA,NA,NA,NA,"35",0,0,"","1202","40.5","L","6/23/24"
"p483","TWM","2",0,0,0,"KM","FS",3,4,"23",NA,NA,NA,NA,"12",0,0,"","1211","59.5","L","6/23/24"
"p484","TWM","2",0,0,0,"KM","FS",4,3,"5",NA,NA,NA,NA,"16",0,0,"","1217","56.5","L","6/23/24"
"p485","TWM","2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"15",0,0,"","1070","64","L","6/23/24"
"p486","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"32",0,0,"","925","26","R","6/23/24"
"p487","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"19",0,0,"","921","10.5","R","6/23/24"
"p488","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"24",1,5,"window","919","18.5","R","6/23/24"
"p489","TWM","2",1,0,0,"CR","SO",0,7,"81",NA,NA,NA,NA,"17",0,0,"","914","28","R","6/23/24"
"p490","TWM","2",1,0,1,"CR","SO",0,32,"216",NA,NA,NA,NA,"42",1,5,"chewing","910","57.5","R","6/23/24"
"p491","TWM","2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"14",0,0,"","825","223","L","6/23/24"
"p492","TWM","2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"49",0,0,"","815","265","L","6/23/24"
"p493","TWM","2",1,0,0,"KM","FS",7,12,"84",NA,NA,NA,NA,"19",0,0,"","874","220.5","L","6/23/24"
"p494","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"21",0,0,"","907","25.5","R","6/23/24"
"p495","TWM","2",1,0,0,"KM","FS",8,2,"44",NA,NA,NA,NA,"MISSING",0,0,"","799","96.5","R","6/23/24"
"p496","TWM","2",1,0,0,"KM","FS",6,9,"58",NA,NA,NA,NA,"14",0,0,"","791","55.5","R","6/23/24"
"p497","TWM","2",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"22",0,0,"","857","30.8","R","6/23/24"
"p498","TWM","2",1,0,1,"KM","R",NA,NA,"",NA,NA,NA,NA,"22",0,0,"","850","8","R","6/23/24"
"p499","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"20",0,0,"","705","23.5","L","6/23/24"
"p500","TWM","2",1,0,1,"CR","R",NA,NA,"",NA,NA,NA,NA,"52",3,10,"","671","20","L","6/23/24"
"p501","TWM","2",1,NA,NA,"CR","SO",0,15,"93",NA,NA,NA,NA,"25",1,5,"chewing","648","94.5","L","6/23/24"
"p502","TWM","2",NA,NA,NA,"CR","SO",0,12,"74",NA,NA,NA,NA,"19",2,20,"chewing","642","125.5","L","6/23/24"
"p503","TWM","2",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"25",0,0,"","641","143.5","L","6/23/24"
"p504","TWM","2",1,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"32",0,0,"","626","137","L","6/23/24"
